premise,hypothesis,similarity_score,label
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",Privacy Policy.,0.6039247512817383,Neutral
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".","(a) The purpose of the privacy policy is to provide consumers with a comprehensive 
description of a business’s online and offline information practices.",0.6119569540023804,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(a) The purpose of the privacy policy is to provide consumers with a comprehensive 
description of a business’s online and offline information practices.",0.6630486845970154,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(d) The privacy policy shall be posted online and accessible through a conspicuous link that 
complies with section 7003, subsections (c) and (d), using the word “privacy” on the 
business’s website homepage(s) or on the download or landing page of a mobile 
application.",0.649426281452179,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(e) The privacy policy shall include the following information: 
(1) A comprehensive description of the business’s online and offline information 
practices, which includes the following: 
(A) Identification of the categories of personal information the business has 
collected about consumers in the preceding 12 months.",0.6457204818725586,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(J) A contact for questions or concerns about the business’s privacy policies and 
information practices using a method reflecting the manner in which the 
business primarily interacts with the consumer.",0.6679587364196777,Entailment
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.",Alternative Opt-out Link.,0.6926893591880798,Neutral
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","(d) A business that uses or discloses a consumer’s sensitive personal information for purposes 
other than those specified in section 7027, subsection (m), shall provide a Notice of Right 
to Limit or the Alternative Opt-out Link in accordance with the CCPA and sections 7014 and 
7015.",0.6196699142456055,Neutral
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for marketing purposes.",Alternative Opt-out Link.,0.6516991257667542,Neutral
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for marketing purposes.","(d) A business that uses or discloses a consumer’s sensitive personal information for purposes 
other than those specified in section 7027, subsection (m), shall provide a Notice of Right 
to Limit or the Alternative Opt-out Link in accordance with the CCPA and sections 7014 and 
7015.",0.6174836158752441,Neutral
"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users have no options regarding the change.",(4) Date the privacy policy was last updated.,0.6001735329627991,Neutral
"When a change is made to the privacy policy that significantly affects data practices, users receive no notification. Users' choices regarding policy changes are not mentioned or are unclear.",(4) Date the privacy policy was last updated.,0.6001366376876831,Neutral
An unnamed third party does collect on the first party website or app your activities on the website or app for targeted advertising. The data is aggregated or anonymized. You can opt out using the provided link.,"For 
example, a first party may allow another business, acting as a third party, to control 
the collection of personal information from consumers browsing the first party’s 
website.",0.630200982093811,Entailment
An unnamed third party does collect on the first party website or app unspecified information about you for targeted advertising. The data is aggregated or anonymized. You can opt out using the provided link for the collection or sharing and use of your information.,"For 
example, a first party may allow another business, acting as a third party, to control 
the collection of personal information from consumers browsing the first party’s 
website.",0.6000489592552185,Entailment
An unnamed third party does collect on the first party website or app your activities on the website or app for targeted advertising. The identifiability of the data is not covered by our label scheme. You can opt out using the provided link for the collection or sharing and use of your information.,"For 
example, a first party may allow another business, acting as a third party, to control 
the collection of personal information from consumers browsing the first party’s 
website.",0.6259992122650146,Entailment
An unnamed third party does collect on the first party website or app your computer information for targeted advertising. The identifiability of the data is not covered by our label scheme. You can opt out using the provided link for the collection or sharing and use of your information.,"For 
example, a first party may allow another business, acting as a third party, to control 
the collection of personal information from consumers browsing the first party’s 
website.",0.609082818031311,Entailment
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(6) A link to the business’s privacy policy, or in the case of offline notices, where the 
privacy policy can be found online.",0.6667556166648865,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(f) If a business collects personal information from a consumer online, the Notice at Collection 
may be given to the consumer by providing a link that takes the consumer directly to the 
specific section of the business’s privacy policy that contains the information required in 
subsection (e)(1) through (6).",0.6477382183074951,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","The notice shall include the information specified in 
subsection (f) or be a link that takes the consumer directly to the specific section of 
the business’s privacy policy that contains the same information.",0.6087093949317932,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","The notice shall include the information specified in subsection (f) 
or be a link that takes the consumer directly to the specific section of the business’s 
privacy policy that contains the same information.",0.6087093949317932,Neutral
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","If the business 
offers the financial incentive or price or service difference online, the notice may be given 
by providing a link that takes the consumer directly to the specific section of a business’s 
privacy policy that contains the information required in subsection (d).",0.6157528162002563,Neutral
A named third party does receive unspecified information about you for analytics or research. The data is aggregated or anonymized.,(g) Third Parties that Control the Collection of Personal Information.,0.635033905506134,Neutral
An unnamed third party does receive your unspecified personal information for analytics or research.,(g) Third Parties that Control the Collection of Personal Information.,0.6495223045349121,Neutral
An unnamed third party does collect on the first party website or app unspecified information about you for targeted advertising. You can configure your privacy with third-party user settings for the collection or sharing of your information.,"For 
example, a first party may allow another business, acting as a third party, to control 
the collection of personal information from consumers browsing the first party’s 
website.",0.6330798268318176,Entailment
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","Accordingly, clicking the business’s “Do Not Sell or Share My Personal Information” link will 
either have the immediate effect of opting the consumer out of the sale or sharing of 
personal information or lead the consumer to a webpage where the consumer can learn 
about and make that choice.",0.626345157623291,Neutral
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","(d) In lieu of posting the “Do Not Sell or Share My Personal Information” link, a business may 
provide the Alternative Opt-out Link in accordance with section 7015 or process opt-out 
preference signals in a frictionless manner in accordance with section 7025, subsections (f) 
and (g).",0.7059431672096252,Neutral
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","If clicking on the 
“Do Not Sell or Share My Personal Information” link immediately effectuates the 
consumer’s right to opt-out of sale/sharing or if the business processes opt-out 
preference signals in a frictionless manner and chooses not to post a link, the 
business shall provide the notice within its privacy policy.",0.6069514751434326,Neutral
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","(d) In lieu of posting the “Limit the Use of My Sensitive Personal Information” link, a business 
may provide the Alternative Opt-out Link in accordance with section 7015.",0.6827291250228882,Neutral
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","(a) The purpose of the Alternative Opt-out Link is to provide businesses the option of 
providing consumers with a single, clearly-labeled link that allows consumers to easily 
exercise both their right to opt-out of sale/sharing and right to limit, instead of posting the 
two separate “Do Not Sell or Share My Personal Information” and “Limit the Use of My 
Sensitive Personal Information” links.",0.6283859610557556,Neutral
