premise,hypothesis,label
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).","CALIFORNIA CONSUMER PRIVACY ACT REGULATIONS 
ARTICLE 1.",Neutral
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",(a)  This Chapter shall be known as the California Consumer Privacy Act Regulations.,Neutral
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).","It may be 
cited as such and will be referred to in this Chapter as “these regulations.” These 
regulations govern compliance with the California Consumer Privacy Act and do not limit 
any other rights that consumers may have.",Neutral
"A user with an account can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
A user without an account can opt out (via a link) from the use of unspecified information by an unspecified party for marketing purposes.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
You can opt out (via a link) from the use of generic personal information by an unspecified party for marketing purposes.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"A user with an account can opt out (via a link) from the use of unspecified information by the site, which uses it for an unspecified purpose.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"You can opt out (via a link) from the use of unspecified information by a third party, which uses it for marketing purposes.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
A user with an account can opt out (via a link) from the use of contact information by an unspecified party for advertising.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"You can opt out (via a link) from the use of generic personal information by a third party, which uses it for advertising.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
You can opt out (via a link) from the use of generic personal information by an unspecified party for an unspecified purpose.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"You can opt out (via a link) from the use of generic personal information by a third party, which collects or receives it for advertising.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
You can opt out (via a link) from the use of unspecified information by an unspecified party for marketing purposes.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
You can opt out (via a link) from the use of unspecified information by an unspecified party for an unspecified purpose.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
