premise,hypothesis,similarity_score
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(2)  Disclose, by July 1 of every calendar year, the information compiled in subsection 
(a)(1) within their privacy policy or posted on their website and accessible from a link 
included in their privacy policy.",0.5120234489440918
An unnamed third party does receive unspecified information about you for service operations or security. You can choose not to use the service or feature for the collection or sharing and use of your information.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.6145211458206177
An unnamed third party does receive unspecified information about you for service operations or security. You can choose not to use the service or feature for the collection or sharing and use of your information.,"In its disclosure, a business may choose to disclose 
the number of requests that it denied in whole or in part because the request was 
not verifiable, was not made by a consumer, called for information exempt from 
disclosure, or was denied on other grounds.",0.5039697885513306
An unnamed third party does receive unspecified information about you for service operations or security. You can choose not to use the service or feature for the collection or sharing and use of your information.,"CPPA
 
Page 63 of 67 
(b)  A business may choose to compile and disclose the information required by subsection 
(a)(1) for requests received from all individuals, rather than requests received from 
consumers.",0.508023202419281
An unnamed third party does not do something outside of our label scheme with unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5282657742500305
A named third party does receive unspecified information about you for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.512628972530365
An unnamed third party does not receive your unspecified personal information for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5401480197906494
An unnamed third party does not receive unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5276368856430054
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5594590902328491
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.5161712765693665
A named third party does not receive unspecified information about you for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5450692176818848
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5594590902328491
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.5161712765693665
An unnamed third party does receive your unspecified personal information for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5149680972099304
An unnamed third party does receive your unspecified personal information for a basic service or feature.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5105388164520264
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5594590902328491
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.5161712765693665
An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5105686783790588
An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.508583128452301
An unnamed third party does receive your unspecified personal information for a basic service or feature.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5105388164520264
A third party outside of our label scheme does receive your unspecified personal information for legal requirements. The data is personally identifiable.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.509003758430481
A third party outside of our label scheme does receive your unspecified personal information for legal requirements. The data is personally identifiable.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5839697122573853
A third party outside of our label scheme does receive your unspecified personal information for legal requirements. The data is personally identifiable.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.5242488384246826
A third party outside of our label scheme does receive your unspecified personal information for legal requirements. The data is personally identifiable.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.509003758430481
A third party outside of our label scheme does receive your unspecified personal information for legal requirements. The data is personally identifiable.,"The business shall state whether it has done so in its disclosure and shall, upon 
request, compile and provide to the Attorney General the information required by 
subsection (a)(1) for requests received from consumers.",0.5116462707519531
A named third party does receive something that uniquely identifies you for legal requirements. The data is personally identifiable.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5303300619125366
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(2)  Disclose, by July 1 of every calendar year, the information compiled in subsection 
(a)(1) within their privacy policy or posted on their website and accessible from a link 
included in their privacy policy.",0.5120234489440918
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
A named third party does receive unspecified information about you for an additional (non-basic) service or feature. The data is personally identifiable. You can opt in for data collection for the collection or sharing of your information.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5612059831619263
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
An unnamed third party does not receive unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5276368856430054
A third party outside of our label scheme does not do something outside of our label scheme with unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5405622720718384
An unnamed third party does receive unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5070441365242004
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5594590902328491
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.5161712765693665
An unnamed third party does receive your unspecified personal information for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5149680972099304
An unnamed third party does receive your unspecified personal information for a basic service or feature.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5105388164520264
A named third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5078283548355103
A named third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5829880833625793
A named third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.504921019077301
A named third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5078283548355103
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(2)  Disclose, by July 1 of every calendar year, the information compiled in subsection 
(a)(1) within their privacy policy or posted on their website and accessible from a link 
included in their privacy policy.",0.5120234489440918
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
Data is accessible to employees/third parties on a need-to-know basis.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.5973386168479919
