stage,article_model,eval_on,acc,f1_macro
Stage2_Article 2,Article 2,Article 2,0.928030303030303,0.7696183044009132
Stage2_Article 2,Article 2,Article 3,0.8615160349854227,0.4893241167434716
Stage2_Article 2,Article 2,Article 7,0.9067055393586005,0.6977458197797181
Stage2_Article 2,Article 2,Article 8,0.9382716049382716,0.8589957163255594
Stage2_Article 3,Article 3,Article 2,0.8295454545454546,0.5260071190220869
Stage2_Article 3,Article 3,Article 3,0.9300291545189504,0.7776144541417853
Stage2_Article 3,Article 3,Article 7,0.7711370262390671,0.4101039232260952
Stage2_Article 3,Article 3,Article 8,0.9053497942386831,0.8022527413523607
Stage2_Article 7,Article 7,Article 2,0.8333333333333334,0.5299167890357318
Stage2_Article 7,Article 7,Article 3,0.7900874635568513,0.34067899824921977
Stage2_Article 7,Article 7,Article 7,0.9431486880466472,0.7922093856051929
Stage2_Article 7,Article 7,Article 8,0.9588477366255144,0.9164529914529914
Stage2_Article 8,Article 8,Article 2,0.9015151515151515,0.7041461412151068
Stage2_Article 8,Article 8,Article 3,0.8658892128279884,0.4673939903398832
Stage2_Article 8,Article 8,Article 7,0.9081632653061225,0.675527668237749
Stage2_Article 8,Article 8,Article 8,0.9588477366255144,0.9278473464519976
